Nom,Superficie totale (ha),Cultivées (ha),Non cultivées (ha),% Cultivé,% Non cultivé
Nord,1471788.73394786,1409551.7004068717,62237.03354098834,95.77133374475245,4.228666255247546
Centre,2717721.6602047943,2616396.4392441562,101325.22096063802,96.27168512344996,3.7283148765500442
Est,1559630.6064501968,1552004.526117406,7626.080332790734,99.51103291373923,0.48896708626077157
Ouest,2115060.67138922,1969927.2299709276,145133.44141829223,93.13809559311765,6.861904406882346
