Région;V_2017;V_2022;Pop_2017;Pop_2022;ΔV_km2;ΔPop;Taux_V_%;Taux_Pop_%;Densité_2017;Densité_2022;ΔDensité;LCR;PGR;LCRPGR;BuiltUp_per_capita_2017;BuiltUp_per_capita_2022;Total_BuiltUp_Change_%;LCR_%;PGR_%
Rukwa;365,556;475,851;1070944;1323245;110,29500000000002;252301;30,171847815382602;23,558748169838946;2929,630480692425;2780,7969301314906;-148,83355056093433;0,06034369563076521;0,042309310131294964;1,4262509940130348;341,3399766934592;359,60914267577056;30,171847815382602;6,03436956307652;4,230931013129497
Ruvuma;1085,989;1349,615;1437170;1643114;263,626;205944;24,275199840882365;14,329828760689411;1323,374361987092;1217,468685514017;-105,90567647307512;0,04855039968176473;0,02678346396021623;1,812700543659356;755,6440782927559;821,3763622000664;24,275199840882365;4,855039968176473;2,678346396021623
Shinyanga;293,042;429,393;1664893;1996594;136,351;331701;46,52950771561756;19,923262335777732;5681,414268261888;4649,80565589099;-1031,6086123708974;0,09305901543123513;0,036336374340776204;2,5610429526758125;176,01251251581934;215,06275186642853;46,52950771561756;9,305901543123513;3,6336374340776203
Simiyu;318,023;437,949;1643544;1891872;119,92599999999999;248328;37,70985117428613;15,109300389889166;5168,0035720686865;4319,84546145784;-848,158110610846;0,07541970234857226;0,028142385833546207;2,6799327816290073;193,49831826832747;231,48976252093163;37,70985117428613;7,541970234857226;2,8142385833546206
Singida;635,867;713,477;1512101;1812924;77,61000000000001;300823;12,20538257214166;19,894372135194676;2378,0145848109746;2540,9704867851383;162,95590197416368;0,024410765144283322;0,03628818739107746;0,6726917738053083;420,5188674566051;393,55041910195905;12,20538257214166;2,441076514428332;3,628818739107746
Songwe;378,548;484,886;1035598;1187070;106,33800000000002;151472;28,091021482084177;14,626524964320131;2735,7111911831526;2448,1424499779328;-287,5687412052198;0,05618204296416836;0,027301809688353013;2,057813881404927;365,5356615211694;408,47296284128146;28,091021482084177;5,6182042964168355;2,730180968835301
Tabora;690,402;797,141;2535810;3051592;106,73899999999992;515782;15,460412918850164;20,33993083077991;3672,947065622637;3828,1709258462433;155,22386022360615;0,030920825837700328;0,03703006180446594;0,8350195579195923;272,2609343759982;261,2213559348694;15,460412918850164;3,0920825837700328;3,703006180446594
Tanga;725,069;887,236;2073461;2306309;162,16700000000003;232848;22,365733468125107;11,229919443867042;2859,6740448150454;2599,431267441808;-260,24277737323746;0,044731466936250214;0,021285843877062813;2,1014655183322057;349,6902039633251;384,6995350579649;22,365733468125107;4,473146693625021;2,1285843877062813
Kaskazini Pemba;54,66;72,517;213416;238638;17,857;25222;32,66922795462862;11,81823293473779;3904,427369191365;3290,7869878787046;-613,6403813126603;0,06533845590925723;0,022340889343965633;2,924613022484954;256,1195036923192;303,8786781652545;32,66922795462862;6,533845590925723;2,234088934396563
Kusini Pemba;57,961;65,312;175394;202811;7,350999999999999;27417;12,6826659305395;15,631663568879208;3026,069253463536;3105,263963743263;79,19471027972713;0,025365331861078998;0,029047927809977152;0,8732234542515874;330,4617033649954;322,0338147339148;12,6826659305395;2,5365331861078997;2,9047927809977154
Kaskazini Unguja;74,433;90,043;167421;195020;15,61;27599;20,971880751817068;16,484789841178824;2249,284591511829;2165,854091933854;-83,4304995779753;0,04194376150363414;0,030518103838174028;1,3743895009351188;444,5858046481624;461,71161932109527;20,971880751817068;4,194376150363413;3,051810383817403
Kusini Unguja;74,347;93,405;121519;157863;19,058000000000007;36344;25,63385207204058;29,90808021790831;1634,4842428073764;1690,0915368556286;55,60729404825224;0,05126770414408116;0,052331387825006334;0,9796740784998463;611,8137904360635;591,6839284696224;25,63385207204058;5,126770414408116;5,2331387825006335
Mjini Magharibi;128,213;141,978;695455;831714;13,765000000000015;136259;10,736040807094456;19,59278457987936;5424,215953140478;5858,048430038456;433,83247689797827;0,021472081614188912;0,035784464821773124;0,6000391991645544;184,3584415957898;170,70531456726712;10,736040807094456;2,147208161418891;3,5784464821773123
TANZANIE (NATIONAL);16606,053;21158,574000000004;46909713;54641713;4552,521000000004;7732000;;;;;;0,05482965759533592;0,03051456224136127;1,7968357914378503;354,0003111935475;387,2238412437766;27,414828797667962;5,4829657595335926;3,051456224136127
