ADMIN2,mean_yield
Dakar,0.3791646233765046
Ranerou Ferlo,0.5899377570819819
Saint-Louis,0.603697705746648
Louga,0.6913105805997127
Mbacke,0.7121134623831208
Diourbel,0.7133421112014011
Linguere,0.7339404301901185
Tivaouane,0.7405188175274385
Rufisque,0.7616133937590871
Gossas,0.7658414460284564
