NAME_1,NAME_2,mean
Saint-Louis,Dagana,0.20569975191443135
Saint-Louis,Podor,0.24150396674579175
Saint-Louis,Saint-Louis,0.22515350450862778
Sédhiou,Bounkiling,0.16883023549402115
Sédhiou,Goudomp,0.015197624596484556
Sédhiou,Sédhiou,0.10701761074285024
Tambacounda,Bakel,0.20565458531786587
Tambacounda,Goudiry,0.1917648725479229
Tambacounda,Koupentoum,0.21543805428131904
Tambacounda,Tambacounda,0.158867014798432
Thiès,Mbour,0.23144438049023233
Thiès,Thiès,0.22033690277847875
Thiès,Tivaouane,0.2276978977416524
Ziguinchor,Bignona,0.01819916971748027
Ziguinchor,Oussouye,-0.1265013330198883
Ziguinchor,Ziguinchor,-0.08325082077767124
Dakar,Dakar,0.13039385500769915
Dakar,Guédiawaye,0.16093717012451364
Dakar,Pikine,0.15812827601938645
Dakar,Rufisque,0.20127068834726827
Diourbel,Bambey,0.24248464406177112
Diourbel,Diourbel,0.2331491924976697
Diourbel,Mbacké,0.22160313021835168
Fatick,Fatick,0.20805150201294004
Fatick,Foundiougne,0.07961093950235086
Fatick,Gossas,0.22850042125807174
Kaffrine,Birkilane,0.22811596771204645
Kaffrine,Kaffrine,0.22277124835143738
Kaffrine,Koungheul,0.21966775567846625
Kaffrine,Malème Hodar,0.21215784700647705
Kaolack,Guinguinéo,0.22111038459548615
Kaolack,Kaolack,0.20794163315931954
Kaolack,Nioro du Rip,0.22533494990793912
Kédougou,Kédougou,0.14715006258407615
Kédougou,Salémata,0.14692470092612397
Kédougou,Saraya,0.15754776590035646
Kolda,Kolda,0.08801285472243917
Kolda,Médina Yoro Foula,0.13777024653131897
Kolda,Vélingara,0.09171431673987487
Louga,Kébémer,0.24027998837129227
Louga,Linguère,0.23082014875973852
Louga,Louga,0.2447966813802871
Matam,Kanel,0.2228271956852834
Matam,Matam,0.2240509976439482
Matam,Ranérou Ferlo,0.22845423314930405
