niveau,fichier,nb_entites,crs,type_geometrie,minx,miny,maxx,maxy
0,gadm41_UGA_0.shp,1,EPSG:4326,Polygon,29.571499001000007,-1.4821398259999796,35.00027465900013,4.234466077000093
1,gadm41_UGA_1.shp,58,EPSG:4326,Polygon,29.571499001000007,-1.4821398259999796,35.00027465900013,4.234466077000093
