nom_territoire,indice,moyenne,mediane,ecart_type,minimum,maximum
Balé,NDBI,0.13973705500975203,0.14255615292625987,0.04764761848771082,-0.48208314180374146,0.4120667576789856
Banwa,NDBI,0.14130810177831474,0.1425942780414544,0.04928460732907627,-0.37805357575416565,0.34166184067726135
Kossi,NDBI,0.13568461705189105,0.14258208545724882,0.05656800964896688,-0.40645161271095276,0.5857142806053162
Mouhoun,NDBI,0.1375662963222625,0.13867548508437624,0.04802164698769684,-0.4366118609905243,0.354263573884964
Nayala,NDBI,0.13892364820346412,0.13865475196782917,0.046149639372144995,-0.3880070447921753,0.36750710010528564
Sourou,NDBI,0.1393727739533943,0.14452175942998355,0.05377335348288057,-0.5437073707580566,0.4760563373565674
Comoé,NDBI,0.08877813761722259,0.09961418546667465,0.06976348967042598,-0.4874661862850189,0.3329602777957916
Léraba,NDBI,0.0734486621228229,0.08788520448808593,0.08488314835316561,-0.5185273885726929,0.34676212072372437
Kadiogo,NDBI,0.1343246265876553,0.13866755153202714,0.05251822638671784,-0.5126258730888367,0.32884475588798523
Boulgou,NDBI,0.1525456161226753,0.16801452926975075,0.10393507680370744,-0.7785900831222534,0.34530314803123474
Koulpélogo,NDBI,0.16021722059532767,0.1660224555145117,0.052522363631126,-0.6099873781204224,0.30221545696258545
Kouritenga,NDBI,0.15886019858361955,0.15820712703088904,0.038708628509658366,-0.5387434363365173,0.3573780655860901
Bam,NDBI,0.14548521088528182,0.14647893344351137,0.0503539095676797,-0.4772987365722656,0.41389188170433044
Namentenga,NDBI,0.1515705340460605,0.1522851854560704,0.049343480224810984,-0.6904913783073425,0.5300859808921814
Sanmatenga,NDBI,0.14107839395731578,0.13671946068683138,0.04967126705198795,-0.6707229614257812,0.501694917678833
Boulkiemdé,NDBI,0.12694404850638397,0.1269411036570073,0.043806849614798894,-0.5666298866271973,0.3483640253543854
Sanguié,NDBI,0.13694721126991458,0.13867627578514152,0.04412368456521985,-0.5845539569854736,0.3645862638950348
Sissili,NDBI,0.12040452914164254,0.12305951391049208,0.04145560389174107,-0.4000000059604645,0.3380471467971802
Ziro,NDBI,0.1144484223490626,0.11523463029838638,0.03729127893402086,-0.43575775623321533,0.3404736816883087
Bazèga,NDBI,0.12398608158998814,0.12694930125078757,0.041083037115521075,-0.5098100900650024,0.3236483335494995
Nahouri,NDBI,0.11465314987248805,0.11524627934296461,0.04610120880515437,-0.493814080953598,0.30427125096321106
Zoundwéogo,NDBI,0.12267501537153103,0.14453955703511945,0.12608275197584362,-0.777186930179596,0.31387627124786377
Gnagna,NDBI,0.15809886509110962,0.1601351805069407,0.05400769634203249,-0.6756482124328613,0.39797738194465637
Gourma,NDBI,0.14163657555991527,0.14257716311584534,0.039058278207235106,-0.6072680950164795,0.3587898910045624
Komandjoari,NDBI,0.1493265075874344,0.1503834920970562,0.034799250132876214,-0.38188353180885315,0.3945196568965912
Kompienga,NDBI,0.10026363469273215,0.10741659792891003,0.09152855611689584,-0.6564911007881165,0.30884087085723877
Tapoa,NDBI,0.12017820547226053,0.12115327593912939,0.04408986696683976,-0.5686478018760681,0.4510135054588318
Houet,NDBI,0.11569064909571876,0.12306461793725904,0.06170659706647041,-0.5249925851821899,0.3657945394515991
Kénédougou,NDBI,0.0958542806341231,0.11524555357440396,0.08348319035104348,-0.43660980463027954,0.35895872116088867
Tuy,NDBI,0.14108719450379453,0.14452885359739762,0.05451851994728155,-0.7311800122261047,0.34504392743110657
Loroum,NDBI,0.1489011920746189,0.15237027178908857,0.04577394538007321,-0.7406795024871826,0.4263381361961365
Passoré,NDBI,0.13875989469641742,0.13865907610304581,0.048373386104617104,-0.5058438777923584,0.36640679836273193
Yatenga,NDBI,0.15712218909964706,0.1601078273185663,0.054423903737623465,-0.6704145073890686,0.41324448585510254
Zondoma,NDBI,0.14372264106848393,0.14257633855070967,0.043801373795814204,-0.4044416546821594,0.3894519805908203
Ganzourgou,NDBI,0.14572586983673816,0.15236141602074002,0.056186806254390056,-0.7766903638839722,0.35605135560035706
Kourwéogo,NDBI,0.12890372272921155,0.12695207195444735,0.03839748812450005,-0.4808852970600128,0.35787877440452576
Oubritenga,NDBI,0.13219087662966456,0.14452575068461346,0.09959160670055886,-0.7731316685676575,0.37837404012680054
Oudalan,NDBI,0.1475614219734736,0.14452469244317415,0.05130680546637799,-0.7791953086853027,0.42741936445236206
Séno,NDBI,0.16179226130099322,0.162113954820689,0.04165440063375835,-0.5242189764976501,0.40192878246307373
Soum,NDBI,0.15354478455295198,0.1524220994409161,0.05083344804975375,-0.679539144039154,0.4121082127094269
Yagha,NDBI,0.15226277862278867,0.15430460424977385,0.04468851319638728,-0.4810316264629364,0.3981459438800812
Bougouriba,NDBI,0.1052008727478475,0.10742108311790832,0.051351076791389005,-0.29894447326660156,0.32774418592453003
Ioba,NDBI,0.13688352301499887,0.13867303148124463,0.046407615555119665,-0.42930591106414795,0.3429575562477112
Noumbiel,NDBI,0.08820943457121687,0.09178913969377589,0.054533428019435407,-0.30752113461494446,0.3597201108932495
Poni,NDBI,0.07400639120415846,0.08007971107983407,0.06306024941313627,-0.35233375430107117,0.31735920906066895
