,dist_m_to_road,dist_km
count,652.0,652.0
mean,39.281561482562985,0.03928156148256298
std,107.88433181633327,0.10788433181633318
min,0.0,0.0
25%,7.799284711581473,0.0077992847115814735
50%,14.382538555562286,0.014382538555562286
75%,23.281738938485734,0.023281738938485737
max,858.2478747251099,0.8582478747251099
