Seuil (%),Eau permanente (Mha),Pourcentage eau,Terres disponibles (Mha),Terres arables ls (Mha),Écart vs FAO (%),Coefficient arable,Écart absolu
75,0.6515,0.576,112.488,17.436,16.238,0.155,16.238
85,0.6253,0.553,112.514,17.44,16.265,0.155,16.265
90,0.6063,0.536,112.533,17.443,16.285,0.155,16.285
95,0.5765,0.51,112.563,17.447,16.315,0.155,16.315
