ADM0_NAME,ADM1_NAME,ADM2_NAME,ADM2_CODE,NDVI_mean,NDVI_stdDev,NDVI_min,NDVI_max,EVI_mean,EVI_stdDev,EVI_min,EVI_max,NDWI_mean,NDWI_stdDev,NDWI_min,NDWI_max,NDMI_mean,NDMI_stdDev,NDMI_min,NDMI_max,MDVI_mean,MDVI_stdDev,MDVI_min,MDVI_max,LST_mean,LST_stdDev,LST_min,LST_max
Niger,Agadez,Arlit,22551,0.06542234078440323,0.015356051647946303,-0.10051992991846938,0.687615780424458,0.10619384878291939,0.03966717692479727,-4.057024661446775,24.768949191511247,-0.22340508544776344,0.023224242348511254,-0.7511189344460278,0.12567918436855222,-0.1212456714930151,0.03268102322891069,-0.5348945885295274,0.3378814148116917,0.39018207305854774,0.012652093216794134,0.24088463712214642,0.8305765896539142,45.82749694123524,1.6251990095049336,33.45800000000003,51.67666666666673
Niger,Agadez,Bilma,22552,0.058602614769078375,0.009185916283873205,-0.04747116185147336,0.6939288975475165,0.09225316063596312,0.01598667911281648,-1.044751150033802,15.029576905575794,-0.22011737644506352,0.03133100068008456,-0.72297729948367,0.07026090646031281,-0.1184293983307753,0.031226042731256974,-0.6178014476564844,0.22965367716825028,0.38440294429659805,0.007838649446467333,0.2904582998462938,0.8342842473449353,46.74104585864107,2.1593586832597853,41.726,54.81533333333334
Niger,Agadez,Tchighozerine,22553,0.07179774643456441,0.02483410992161525,-0.0993939381891644,0.7757266734298571,0.12004949985136873,0.051918620800363253,-0.14997987965043802,3.7225404143963505,-0.22410651240261747,0.03131358439093632,-0.7246454278211744,-0.005149051420744561,-0.09906606354759506,0.02987633401043038,-0.3847832805615329,0.4452468853670325,0.3954960224043616,0.020524069228489396,0.24195570211487086,0.8812025621628535,44.18146658904623,1.7080639728057747,33.238,50.65400000000005
Niger,Diffa,Diffa,22554,0.21423733546960189,0.1141440674282961,-0.2815890455418286,0.7252002352865028,-120.05668083288312,31236.21564786856,-9325000.0,3500000.0,-0.2744563471150559,0.09623956964703648,-0.6622142970879445,0.2613756563467887,-0.07406006784449821,0.08063884168877877,-0.3831697000957966,0.39461717592949275,0.5079694271880457,0.08792308060759634,0.05710426062748052,0.8524644322488883,35.752776859219146,2.7240152752749793,26.148571428571415,39.460000000000036
Niger,Diffa,Maine-soroa,22555,0.14867883429955717,0.07396248283502775,-0.15813384312189685,0.7015958942849158,0.30920700900041376,0.42204357029893136,-270.10529210538374,217.40660219776964,-0.2728776752645071,0.048014226372621115,-0.6384459170999432,0.1691670948583015,-0.09814989428307312,0.034867954912018696,-0.32650917778191135,0.3407598897799902,0.45788452904755467,0.05827205635264937,0.18494834991455544,0.8387700249022206,37.16950370358435,1.261083963370545,30.58571428571429,43.57000000000005
Niger,Diffa,N'guigmi,22556,0.06538651979693794,0.04112979262760326,-0.22066325826966648,0.7138305472291014,-14.840539204075563,10432.51306212063,-9675000.0,4325000.0,-0.19061114024771147,0.037361175202292964,-0.6410560569407289,0.2508939138589418,-0.09516923181869999,0.01990712248193372,-0.33675405444922957,0.3845041524942264,0.38976724186561484,0.033450418151880656,0.12161541712676877,0.8458898701771185,43.39117747348521,2.084426265214974,26.071428571428612,48.846000000000004
Niger,Dosso,Birni N'gaoure,22557,0.17091029014829978,0.07994663190458717,-0.13708728071501852,0.6924886201585602,0.3804073730442893,0.28965519659108396,-0.9484857711819323,5.6265033125285235,-0.2858937657005727,0.04760109157495949,-0.6172490157160484,0.06877448807527393,-0.0914426794576811,0.05842391719571012,-0.31266266478824645,0.4525244036458673,0.4755083103363584,0.06221706074173091,0.2056430655561445,0.8334394968918377,35.76540553749157,1.8677263359703042,29.810000000000002,40.79000000000002
Niger,Dosso,Dogondoutchi,22558,0.0983582413391452,0.048754458295395,-0.1833923258070188,0.6499229483833135,0.17013170526344384,0.10892172079474761,-0.37451646642037695,2.333495305995939,-0.249028999430616,0.04228626826107482,-0.6229594429705944,0.06730769157224988,-0.11237930172229194,0.033617074152207285,-0.32646988423625467,0.5115487416539176,0.41736619425643684,0.039550012885342864,0.1597038233835757,0.8081729077324139,35.520259164362336,1.2564363360723023,31.988461538461536,41.05307692307696
Niger,Dosso,Dosso,22559,0.2007493727565278,0.08378084325692092,-0.17070558079119585,0.6340437376045466,0.45102029614705336,0.3067650148872014,-33.95964842214188,9.221885698416527,-0.3111367443520044,0.052452417312667,-0.5755674943911664,0.0963762510336112,-0.05056783863357309,0.052498157954525414,-0.30133708231756395,0.430351067754793,0.498912353008637,0.06412448028554653,0.17243989993905073,0.7985955644834049,34.47072809498816,1.6036667130859739,29.24000000000001,38.48000000000002
Niger,Dosso,Gaya,22560,0.2159824456066738,0.09870975794932534,-0.23307455798746057,0.6339497291931447,0.5694513662938464,3.810122942273563,-1982.6982698269828,932.1162252507071,-0.3076385614218144,0.06406232764296811,-0.5666824032958211,0.2352835241173083,-0.056725658764063644,0.07385363811160826,-0.29525999367241607,0.4498897668324611,0.5101312584331011,0.0753404273473611,0.10870416144193969,0.7985386151832062,33.38571078898074,1.6316338895451203,27.385384615384623,37.98142857142864
Niger,Dosso,Loga,22561,0.11636592439720794,0.0426645770107772,-0.12550741342467556,0.6081058897188121,0.20538677346591347,0.09533045637379255,-0.23592245059992054,1.9309807590870625,-0.2669543889934165,0.03835557569922053,-0.5770884432265289,0.04600090333483142,-0.10149959347737128,0.03711706111814668,-0.29040611782923936,0.3348507797818566,0.432434541847089,0.034628568593328274,0.21690010826618186,0.7827701713672419,36.08913174083073,0.7992915464261371,33.195454545454595,38.91750000000002
