system:index,Annee,Code_Dept,Departement,EVI,LST,MDVI,NDMI,NDVI,NDWI,Pays,Region,Saison,.geo
000000000000000012c1,2022,22576,Tahoua,0.1454143767715538,37.09411933675858,0.4120593336939668,-0.1302032014174974,0.09179348277233643,-0.2494261679066399,Niger,Tahoua,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012c2,2022,22577,Tchin Tabaradene,0.1563832475397399,40.91823419362147,0.41472576933105715,-0.11289316702077802,0.09478081520283888,-0.2440951556593088,Niger,Tahoua,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012c3,2022,22578,Filingue,0.1257204124089597,38.394294844958985,0.40029368699110957,-0.12400504093967459,0.07771192878527579,-0.2415434305588266,Niger,Tillaberi,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012c4,2022,22579,Kollo,0.21273383375593535,35.910350163409035,0.427244288789499,-0.11394322648788514,0.11097878475678571,-0.26333815077062217,Niger,Tillaberi,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012c5,2022,22580,Ouallam,0.12760472210414833,38.611291661267266,0.39798523396917745,-0.12306471626491017,0.07504531834595667,-0.2350169023710242,Niger,Tillaberi,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012c6,2022,22581,Say,0.6570875218572805,34.33277761348232,0.5082378300489647,-0.06321824051184902,0.21517409571836563,-0.29932636371449145,Niger,Tillaberi,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012c7,2022,22582,Tera,0.18098035674870305,36.07387848725796,0.4273772571864076,-0.1428593821539665,0.11038261369025483,-0.2679544923406026,Niger,Tillaberi,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012c8,2022,22583,Tillaberi,0.14829967488663345,37.60412738307344,0.4082503136760096,-0.13550590292092454,0.0876602300301834,-0.24359059988903697,Niger,Tillaberi,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012c9,2022,22584,Goure,0.16633990628115994,41.19694353159802,0.41046457603903624,-0.09605662934007268,0.09031566907038824,-0.2290598444284299,Niger,Zinder,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012ca,2022,22585,Magaria,0.4926587138053361,36.1060874584047,0.5105230221909806,-0.07307370156071503,0.21484755080070744,-0.3001148126195967,Niger,Zinder,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012cb,2022,22586,Matamey,0.5038755258858089,35.56917227468027,0.5169125207652768,-0.056350750756270954,0.22349567264722506,-0.31152182145991086,Niger,Zinder,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012cc,2022,22587,Miria,0.33373423420391307,35.60105556501164,0.46845207186003723,-0.08921298598208842,0.16168049483648014,-0.27168290279999685,Niger,Zinder,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012cd,2022,22588,Tanout,0.28778125420479045,38.83158556573719,0.45701883699975165,-0.0754462762731759,0.14742923184425538,-0.26398915528117295,Niger,Zinder,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
