"product","n_observations","moyenne","mediane","q25","q75","minimum","maximum","ecart_type","coefficient_variation"
"Sugarcane",79,37.45,37.14,29.74,45.66,12.37,53.24,8.93,0.24
"Cabbage",246,25.6,26.5,19.72,30.96,3.8,46.01,8.19,0.32
"Squash",206,25.04,23.92,20.22,30.28,6.06,79.45,10.15,0.41
"Potato",299,22.76,23.35,18.62,28.09,2.04,39.36,7.77,0.34
"Onions",387,21.04,22.4,10.52,29.51,1.05,54.37,11.22,0.53
"Watermelon",139,19.87,20.99,14.82,24.6,0.91,69.45,8.72,0.44
"Rape",111,19.64,18.55,13.98,24.43,2.16,94.23,12.46,0.63
"Carrots",202,19.6,20.32,11.43,24.74,1.48,228.43,16.75,0.85
"Melon",124,17.9,17.66,15.81,21.16,2.71,50.01,5.55,0.31
"Tobacco",38,17.78,16.43,14.05,18.99,9.36,29.6,5.63,0.32
"Capsicum Chinense",193,16.91,17.24,15.19,18.32,0.44,129.49,9.43,0.56
"Cassava",683,15.63,13.51,10.98,19.35,0.71,39.75,7.5,0.48
"Lettuce",485,14.96,15,9.72,18.49,1.16,41.5,7.05,0.47
"Celery",2,13.08,13.08,13.04,13.11,13.01,13.14,0.09,0.01
"Tomato",703,12.56,9.56,5.21,19.32,0.81,43.02,8.74,0.7
"Eggplant",440,11.41,9.87,6.6,15.6,1.13,33.3,6.3,0.55
"Yams",371,10.9,10.91,8.5,13.72,0.24,31.01,4.2,0.38
"Sweet Potatoes",695,10.73,7.01,4.88,13.34,0.38,117.23,9.87,0.92
"Garlic",85,10.5,12.5,3.55,13.74,1.45,35.27,5.64,0.54
"Cucumber",10,9.82,8.82,5.66,11.53,3.44,23.33,6.17,0.63
"Chili Pepper",131,9.35,7.92,5.57,10.6,1.36,27.9,6.19,0.66
"Okras",605,4.46,3.07,2.32,4.68,0.41,29,4.06,0.91
"Coriander",4,4.12,4.05,3.94,4.23,3.88,4.49,0.27,0.07
"Taro",132,3.34,2.52,2,4.13,0.14,17.67,2.38,0.71
"Rice",1190,2.51,2.48,1.49,3.29,0.02,7.02,1.27,0.51
"Wheat",136,2.24,2.06,1.01,2.89,0.36,9.58,1.44,0.64
"Bean (Hyacinth)",40,2.17,1.87,1.27,2.43,0.32,11,2.17,1
"Pea",2,1.92,1.92,1.92,1.92,1.91,1.93,0.01,0.01
"Soybean",538,1.8,0.89,0.74,1.19,0.05,336.19,14.77,8.19
"Maize",1179,1.46,1.23,0.93,1.76,0.05,6.97,0.79,0.54
"Sorghum (Red)",232,1.08,1.06,0.91,1.23,0.3,3.18,0.35,0.33
"Bambara groundnut",676,1.04,0.77,0.58,1,0.06,24.3,1.66,1.59
"Cotton",187,1.04,1.02,0.8,1.29,0.04,2.39,0.36,0.35
"Sorghum",846,0.91,0.88,0.63,1.06,0.14,12.57,0.64,0.7
"Groundnuts (In Shell)",956,0.84,0.81,0.67,0.98,0.02,2.89,0.29,0.35
"Millet",681,0.8,0.78,0.59,0.96,0.15,2.95,0.32,0.4
"Cowpea",1123,0.75,0.71,0.41,0.9,0.08,5.33,0.46,0.61
"Goussi",259,0.7,0.64,0.53,0.82,0.12,1.88,0.23,0.33
"Pigeon Pea",217,0.66,0.61,0.5,0.78,0.16,1.6,0.24,0.36
"Fonio",128,0.62,0.56,0.45,0.72,0.04,1.6,0.27,0.44
"Beans (mixed)",17,0.59,0.5,0.34,0.78,0.2,1.76,0.38,0.63
"Geocarpa groundnut",98,0.58,0.59,0.5,0.63,0.23,1.1,0.11,0.19
"Sesame Seed",500,0.58,0.53,0.42,0.65,0.13,2.44,0.27,0.46
"Sorrel",150,0.38,0.34,0.24,0.43,0.11,1.3,0.23,0.6
