Zone,Superficie_ha,Pourcentage
Oromia,6597.54,40.3
Somali,2382.21,14.55
Addis Abeba,1978.47,12.08
Amhara,1574.28,9.62
"Southern Nations, Nationalities",1368.09,8.36
Benshangul-Gumaz,1265.31,7.73
Tigray,699.03,4.27
Gambela Peoples,331.02,2.02
Harari People,124.29,0.76
Dire Dawa,42.21,0.26
Afar,9.9,0.06
